timestamp,Open,High,Low,Close,Volume
1684041720,26845.0,26845.0,26841.71,26843.24,2.58203
1684041780,26843.24,26843.28,26843.23,26843.28,1.07853
1684041840,26843.27,26849.89,26839.28,26839.28,8.63782
1684041900,26839.29,26840.75,26838.21,26838.21,3.46434
1684041960,26838.22,26838.22,26836.63,26836.63,5.17292
1684042020,26836.63,26836.64,26828.17,26828.18,8.25725
1684042080,26828.18,26828.18,26827.95,26827.95,3.87172
1684042140,26827.95,26827.96,26826.16,26826.17,1.95165
1684042200,26826.16,26827.94,26826.16,26827.94,5.12711
1684042260,26827.93,26827.94,26823.16,26823.17,4.92848
1684042320,26823.17,26824.48,26815.14,26824.38,19.16551
1684042380,26824.39,26826.73,26824.38,26826.73,2.25218
1684042440,26826.73,26826.73,26826.72,26826.73,2.1348
1684042500,26826.73,26826.73,26826.72,26826.73,1.86293
1684042560,26826.72,26827.54,26826.72,26827.54,7.05392
1684042620,26827.54,26827.66,26827.53,26827.65,2.3299
1684042680,26827.66,26829.98,26827.65,26829.97,4.51478
1684042740,26829.98,26829.98,26816.41,26816.42,14.92573
1684042800,26816.41,26824.46,26816.41,26824.45,2.87805
1684042860,26824.45,26824.46,26812.18,26816.22,9.10253
1684042920,26816.22,26816.22,26802.82,26807.83,11.0134
1684042980,26807.82,26814.52,26807.82,26814.52,9.22362
1684043040,26814.52,26835.65,26809.14,26835.65,29.48949
1684043100,26835.64,26838.64,26835.64,26838.63,2.83696
1684043160,26838.63,26843.7,26838.63,26843.69,2.64729
1684043220,26843.7,26843.98,26843.69,26843.97,2.18703
1684043280,26843.97,26843.98,26838.52,26838.52,5.3165
1684043340,26838.53,26838.71,26838.52,26838.71,9.7086
1684043400,26838.71,26843.6,26834.43,26843.6,13.92982
1684043460,26843.59,26843.6,26836.34,26836.34,7.9632
1684043520,26836.34,26836.35,26835.84,26835.85,1.51062
1684043580,26835.85,26835.85,26823.78,26823.78,18.31394
1684043640,26823.79,26823.79,26817.24,26817.24,5.86639
1684043700,26817.25,26825.54,26817.24,26825.54,6.65547
1684043760,26825.54,26829.22,26825.53,26826.31,3.81975
1684043820,26826.31,26826.32,26821.76,26821.76,2.25468
1684043880,26821.77,26828.49,26821.76,26828.49,3.14639
1684043940,26828.48,26828.49,26828.48,26828.49,4.60714
1684044000,26828.49,26835.77,26828.48,26834.43,14.16489
1684044060,26834.44,26850.0,26834.42,26835.72,29.81451
1684044120,26835.73,26840.16,26830.74,26833.85,14.19061
1684044180,26833.86,26843.29,26833.85,26840.12,11.1499
1684044240,26840.12,26847.41,26840.12,26840.75,11.87574
1684044300,26840.74,26840.75,26832.95,26832.96,4.76068
1684044360,26832.96,26832.96,26823.13,26823.13,4.34265
1684044420,26823.13,26828.76,26822.97,26828.75,13.26531
1684044480,26828.75,26830.05,26828.75,26830.04,5.1694
1684044540,26830.05,26841.55,26830.04,26841.54,10.3001
1684044600,26841.54,26850.0,26841.54,26843.76,14.35516
1684044660,26843.76,26843.77,26840.68,26840.69,2.19801
1684044720,26840.69,26840.69,26838.35,26839.99,4.01591
1684044780,26839.98,26846.59,26839.98,26842.98,5.95128
1684044840,26842.98,26846.09,26839.68,26839.68,9.55576
1684044900,26839.69,26847.01,26839.68,26842.74,7.62952
1684044960,26842.75,26842.75,26837.42,26837.42,4.25207
1684045020,26837.43,26839.6,26837.23,26839.59,3.70653
1684045080,26839.6,26842.21,26839.59,26842.21,1.63159
1684045140,26842.21,26842.21,26842.2,26842.2,3.93096
1684045200,26842.21,26846.87,26839.59,26846.87,8.21069
1684045260,26846.87,26851.64,26846.86,26847.76,5.77122
1684045320,26847.76,26850.41,26847.75,26850.41,3.20276
1684045380,26850.4,26856.0,26850.4,26856.0,10.64466
1684045440,26856.0,26856.0,26855.99,26855.99,2.11191
1684045500,26855.99,26856.0,26851.75,26852.61,13.71626
1684045560,26852.61,26887.26,26852.61,26886.24,43.08229
1684045620,26886.24,26886.24,26869.26,26873.21,32.38844
1684045680,26873.22,26896.15,26873.21,26894.81,38.81374
1684045740,26894.81,26898.87,26890.8,26890.81,12.67609
1684045800,26890.81,26892.13,26884.16,26887.29,13.33725
1684045860,26887.28,26887.29,26870.8,26870.81,14.43418
1684045920,26870.81,26879.28,26870.78,26879.28,40.35017
1684045980,26879.28,26879.28,26866.32,26866.33,9.54796
1684046040,26866.32,26866.33,26866.32,26866.32,2.81312
1684046100,26866.33,26880.73,26866.32,26880.73,28.15778
1684046160,26880.73,26880.87,26875.02,26875.03,11.22751
1684046220,26875.03,26875.03,26870.92,26870.93,6.8964
1684046280,26870.93,26870.93,26866.97,26866.97,4.69992
1684046340,26866.97,26866.98,26864.35,26864.36,3.94522
1684046400,26864.35,26868.38,26864.35,26868.38,9.20519
1684046460,26868.38,26868.38,26865.21,26865.21,5.61226
1684046520,26865.22,26868.74,26865.21,26868.73,4.12137
1684046580,26868.74,26869.17,26868.73,26869.16,1.18447
1684046640,26869.17,26869.17,26869.16,26869.16,3.74645
1684046700,26869.16,26869.17,26864.26,26864.27,8.82849
1684046760,26864.26,26864.27,26853.35,26853.35,13.56891
1684046820,26853.35,26858.5,26853.35,26858.5,4.94877
1684046880,26858.49,26858.5,26858.49,26858.49,0.97579
1684046940,26858.5,26861.07,26858.49,26861.06,3.59097
1684047000,26861.06,26861.84,26861.06,26861.83,3.07817
1684047060,26861.83,26861.98,26857.98,26857.99,10.76208
1684047120,26857.98,26865.18,26857.98,26865.18,5.04414
1684047180,26865.17,26865.18,26858.0,26858.0,3.06234
